Month;Phase;Site;Section;Poecilia_vivipara;Astyanax_bimaculatus;Cichlasoma_orientale;Serrapinnus_heterodon;Oreochromis_niloticus;Hoplias_malabaricus;Steindachnerina_notonota;Phenacogaster_calverti;Compsura_heterura;Astyanax_fasciatus;Serrapinnus_piaba;Hemigrammus_spp;Prochilodus_brevis;Hypostomus_spp;Trachelyopterus_galeatus;Crenicichla_menezesi;Characidum_bimaculatum;Leporinus_piau;Parotocinclus_cearensis
sep_2018;non_flowing;S5;150_200;0.028632785;0.042949177;0.014316392;0.300644238;0;0;0;0.028632785;0.042949177;0.042949177;0.057265569;0.243378669;0;0;0;0;0;0;0
sep_2018;non_flowing;S5;150_200;0;0.014316392;0.042949177;0.286327845;0;0;0;0.057265569;0;0;0.028632785;0;0;0;0;0;0;0;0
sep_2018;non_flowing;S5;150_200;0.744452398;0.12884753;0.014316392;1.675017895;0;0.042949177;0.014316392;0.214745884;1.288475304;0.085898354;0.243378669;0.644237652;0;0;0;0;0;0;0
jun_2019;flowing;S1;0_50;0.0110843;0.001705277;0;0.019610685;0;0.000852638;0.000852638;0.010231662;0.004263192;0;0.016200131;0;0;0;0;0;0;0;0
jun_2019;flowing;S1;0_50;0.000852638;0.000852638;0;0.011936939;0;0;0;0.016200131;0;0;0.005115831;0;0;0;0;0;0;0;0
jun_2019;flowing;S1;0_50;0;0.005115831;0;0.018758047;0;0;0;0.009379023;0.002557915;0.005968469;0.0110843;0;0;0;0;0;0;0;0
jun_2019;flowing;S1;50_100;0;0;0;0.006821108;0;0.000852638;0.000852638;0.01705277;0.001705277;0.013642216;0.001705277;0;0;0;0;0;0;0;0
jun_2019;flowing;S1;50_100;0;0.004263192;0.000852638;0.002557915;0;0.000852638;0.019610685;0.029842347;0.010231662;0.020463324;0.001705277;0;0;0;0;0.000852638;0;0;0
jun_2019;flowing;S1;50_100;0.002557915;0.002557915;0.001705277;0.015347493;0;0;0;0.015347493;0.001705277;0.010231662;0.002557915;0;0;0.000852638;0;0.000852638;0;0;0
jun_2019;flowing;S1;100_150;0.000852638;0.005968469;0;0.008526385;0;0;0.002557915;0.005115831;0.000852638;0.040074009;0.003410554;0;0;0;0;0;0;0;0
jun_2019;flowing;S1;100_150;0;0.005115831;0.001705277;0.006821108;0;0;0.006821108;0.092084957;0.008526385;0.069916356;0.003410554;0;0;0;0;0;0;0;0
jun_2019;flowing;S1;100_150;0.000852638;0;0;0.000852638;0;0;0.000852638;0.000852638;0;0.025579155;0;0;0;0;0;0;0;0;0
jun_2019;flowing;S1;150_200;0;0;0;0.000852638;0;0;0;0;0.002557915;0.01705277;0.000852638;0;0;0;0;0;0;0;0
jun_2019;flowing;S1;150_200;0;0;0.002557915;0.010231662;0;0;0.000852638;0.019610685;0.000852638;0.011936939;0;0;0;0;0;0;0;0;0
jun_2019;flowing;S1;150_200;0;0.000852638;0;0.008526385;0;0;0;0.003410554;0.002557915;0.0110843;0.002557915;0;0;0;0;0;0;0;0
jun_2019;flowing;S2;0_50;0.004498898;0.031492284;0;0.010497428;0;0.001499633;0;0;0;0.010497428;0;0;0;0;0;0;0;0;0
jun_2019;flowing;S2;0_50;0;0.020994856;0.00599853;0.002999265;0;0.001499633;0;0.011997061;0;0.061484936;0;0;0;0;0;0;0;0;0
jun_2019;flowing;S2;0_50;0;0.002999265;0;0;0;0;0;0.008997796;0;0.013496693;0;0;0;0;0;0;0;0;0
jun_2019;flowing;S2;50_100;0;0.016495958;0;0.002999265;0;0;0;0;0;0.04049008;0;0;0;0;0;0;0;0;0
jun_2019;flowing;S2;50_100;0.029992652;0.016495958;0;0.007498163;0;0;0;0;0;0.058485671;0.004498898;0.001499633;0;0.001499633;0;0;0;0;0
jun_2019;flowing;S2;50_100;0;0.011997061;0;0.001499633;0;0;0;0;0;0.016495958;0;0;0;0;0;0;0;0;0
jun_2019;flowing;S2;100_150;0.001499633;0.002999265;0;0.001499633;0;0.001499633;0;0.052487141;0;0.041989713;0.001499633;0.002999265;0;0;0;0;0;0;0
jun_2019;flowing;S2;100_150;0;0.008997796;0;0;0;0;0.001499633;0.029992652;0.002999265;0.023994121;0.001499633;0;0;0;0;0;0;0;0
jun_2019;flowing;S2;100_150;0;0.016495958;0;0;0;0;0.001499633;0.014996326;0;0.025493754;0;0;0;0;0;0;0;0;0
jun_2019;flowing;S2;150_200;0;0.023994121;0;0.002999265;0;0;0.00599853;0.032991917;0;0.026993387;0.004498898;0.002999265;0;0;0;0;0;0;0
jun_2019;flowing;S2;150_200;0;0.022494489;0.001499633;0.002999265;0;0.002999265;0;0.020994856;0;0.04049008;0;0;0;0;0;0;0;0;0
jun_2019;flowing;S2;150_200;0.002999265;0.011997061;0;0.002999265;0;0.002999265;0;0.007498163;0.00599853;0.014996326;0.001499633;0;0;0;0;0;0;0;0
jun_2019;flowing;S3;0_50;0;0;0;0.030256423;0;0;0;0.037820529;0.010925931;0.011766387;0.055470109;0;0;0;0;0;0;0;0
jun_2019;flowing;S3;0_50;0;0.003361825;0;0.012606843;0;0;0;0.038660985;0.04202281;0.011766387;0.004202281;0;0;0;0;0;0.000840456;0;0
jun_2019;flowing;S3;0_50;0.003361825;0.001680912;0;0.063874671;0;0;0;0.012606843;0.053789197;0.022692317;0.028575511;0;0;0;0;0;0;0;0
jun_2019;flowing;S3;50_100;0;0;0;0.021011405;0;0;0.008404562;0.073119689;0.009245018;0.03529916;0.008404562;0;0;0;0;0;0.000840456;0;0
jun_2019;flowing;S3;50_100;0;0;0;0.012606843;0;0;0.001680912;0.016809124;0.007564106;0.029415967;0.008404562;0;0;0;0;0.000840456;0.000840456;0;0
jun_2019;flowing;S3;50_100;0.000840456;0;0;0.010925931;0;0;0.007564106;0.068076952;0.015968668;0.023532774;0.007564106;0;0;0;0;0;0;0;0
jun_2019;flowing;S3;100_150;0;0.001680912;0;0.037820529;0;0;0.001680912;0.121025693;0.011766387;0.033618248;0.00672365;0.000840456;0;0;0;0;0;0;0
jun_2019;flowing;S3;100_150;0;0.001680912;0;0.014287755;0;0;0.005883193;0.043703722;0.005042737;0.020170949;0;0.000840456;0;0;0;0;0.000840456;0;0
jun_2019;flowing;S3;100_150;0;0.001680912;0;0.010925931;0;0;0.002521369;0.052948741;0.004202281;0.020170949;0.003361825;0.001680912;0;0;0;0;0;0;0
jun_2019;flowing;S3;150_200;0;0;0;0.003361825;0;0;0.016809124;0.08404562;0.002521369;0.022692317;0.000840456;0;0;0;0;0;0;0;0
jun_2019;flowing;S3;150_200;0;0.001680912;0;0.00672365;0;0;0.000840456;0.010925931;0.031096879;0.007564106;0.011766387;0.000840456;0;0;0;0;0;0;0
jun_2019;flowing;S3;150_200;0.000840456;0.004202281;0;0.025213686;0;0;0;0.008404562;0.051267828;0.020170949;0.018490036;0.001680912;0;0;0;0;0;0;0
jun_2019;flowing;S4;0_50;0;0.002150931;0;0.037641289;0;0;0;0;0.003226396;0.037641289;0.003226396;0.003226396;0;0;0;0;0;0;0
jun_2019;flowing;S4;0_50;0.005377327;0.001075465;0;0.018282912;0;0;0.001075465;0.005377327;0.019358377;0.059150597;0.007528258;0;0;0;0;0;0.001075465;0;0
jun_2019;flowing;S4;0_50;0;0.003226396;0;0.003226396;0;0.001075465;0;0.006452792;0;0.015056516;0.002150931;0.002150931;0;0;0;0;0;0;0
jun_2019;flowing;S4;50_100;0;0.004301862;0.001075465;0.011830119;0;0.001075465;0;0.066678855;0.005377327;0.029037566;0.004301862;0;0;0;0;0;0.006452792;0;0
